x,y,z,plane,run,total_cost,subgradient_port1,subgradient_port2,subgradient_port3
0.0,0.0,0.0,xy,0,5502.451161227438,1092.0,1030.0,1987.0
0.0,0.0,0.0,xy,1,5362.775280742154,1050.0,1014.0,2026.0
0.0,0.0,0.0,xy,2,5386.286402649172,978.0,1133.0,1914.0
0.0,0.0,0.0,xy,3,5531.645483199141,1143.0,1093.0,1888.0
0.0,0.0,0.0,xy,4,5627.613145344756,1211.0,1093.0,1810.0
0.0,0.0,0.0,xy,5,5384.634577058476,990.0,1006.0,2005.0
0.0,0.0,0.0,xy,6,5464.533485914197,946.0,1066.0,2053.0
0.0,0.0,0.0,xy,7,5579.963059253009,858.0,1057.0,2085.0
0.0,0.0,0.0,xy,8,5064.6923715150615,875.0,1032.0,2112.0
0.0,0.0,0.0,xy,9,5215.246129209042,906.0,1078.0,2128.0
0.0,0.0,0.0,xy,10,5511.876861648512,1263.0,905.0,1760.0
0.0,0.0,0.0,xy,11,5352.511711777656,912.0,1093.0,1998.0
0.0,0.0,0.0,xy,12,5430.290316507937,1095.0,901.0,1996.0
0.0,0.0,0.0,xy,13,5571.960116505845,996.0,1043.0,2027.0
0.0,0.0,0.0,xy,14,5510.030873807682,1021.0,1099.0,1896.0
0.0,0.0,0.0,xy,15,5421.060982711789,983.0,1129.0,2028.0
0.0,0.0,0.0,xy,16,5490.073971896364,926.0,923.0,2216.0
0.0,0.0,0.0,xy,17,5328.884613926564,1036.0,1013.0,1985.0
0.0,0.0,0.0,xy,18,5363.070758984895,960.0,988.0,2086.0
0.0,0.0,0.0,xy,19,5393.152432810153,1096.0,1040.0,1918.0
0.0,0.0,0.0,xy,20,5607.665571877236,892.0,1010.0,2242.0
0.0,0.0,0.0,xy,21,5477.197749088567,1051.0,1054.0,1951.0
0.0,0.0,0.0,xy,22,5688.719461641434,886.0,1098.0,2087.0
0.0,0.0,0.0,xy,23,5564.135957955305,927.0,1063.0,2111.0
0.0,0.0,0.0,xy,24,5722.873123221732,910.0,1113.0,2050.0
0.0,0.0,0.0,xy,25,5584.389523408157,1146.0,1019.0,1857.0
0.0,0.0,0.0,xy,26,5148.0202059514695,822.0,1048.0,2123.0
0.0,0.0,0.0,xy,27,5214.857208563037,1039.0,1040.0,1981.0
0.0,0.0,0.0,xy,28,5446.098353531618,1130.0,1002.0,1875.0
0.0,0.0,0.0,xy,29,5856.197630100671,1120.0,1068.0,1948.0
0.0,0.0,0.0,xy,30,5252.734484532501,930.0,1048.0,2069.0
0.0,0.0,0.0,xy,31,5566.492020022457,732.0,1105.0,2297.0
0.0,0.0,0.0,xy,32,5878.975484744335,837.0,1095.0,2144.0
0.0,0.0,0.0,xy,33,5452.48876035825,964.0,1091.0,2005.0
0.0,0.0,0.0,xy,34,5462.422137863797,859.0,1057.0,2137.0
0.0,0.0,0.0,xy,35,5484.627758785209,923.0,1085.0,2101.0
0.0,0.0,0.0,xy,36,5419.844688503206,1068.0,1013.0,1880.0
0.0,0.0,0.0,xy,37,5560.6094023638525,1061.0,1053.0,2011.0
0.0,0.0,0.0,xy,38,5375.546079977918,892.0,1149.0,2046.0
0.0,0.0,0.0,xy,39,5173.87203988348,1045.0,1121.0,1928.0
0.0,0.0,0.0,xy,40,5769.627354236827,1206.0,779.0,2064.0
0.0,0.0,0.0,xy,41,5408.689885191026,760.0,1091.0,2218.0
0.0,0.0,0.0,xy,42,5532.556690441075,1149.0,1064.0,1832.0
0.0,0.0,0.0,xy,43,5226.718212032596,1090.0,1085.0,1850.0
0.0,0.0,0.0,xy,44,5409.298032991155,931.0,1003.0,2198.0
0.0,0.0,0.0,xy,45,5564.009363859497,1113.0,1081.0,1914.0
0.0,0.0,0.0,xy,46,5365.512663552043,791.0,1018.0,2277.0
0.0,0.0,0.0,xy,47,5575.434202640852,907.0,1061.0,1993.0
