,baseline_demand
Commodity_1,81.0
Commodity_2,1.0
Commodity_3,4.0
Commodity_4,1.0
Commodity_5,3.0
Commodity_6,2.0
Commodity_7,1.0
Commodity_8,3.0
Commodity_9,1.0
Commodity_10,1.0
Commodity_11,3.0
Commodity_12,1.0
Commodity_13,1.0
Commodity_14,6.0
Commodity_15,1.0
Commodity_16,2.0
Commodity_17,4.0
Commodity_18,1.0
Commodity_19,3.0
Commodity_20,1.0
Commodity_21,1.0
Commodity_22,1.0
Commodity_23,1.0
Commodity_24,1.0
Commodity_25,3.0
Commodity_26,4.0
Commodity_27,1.0
Commodity_28,3.0
Commodity_29,3.0
Commodity_30,2.0
Commodity_31,1.0
Commodity_32,1.0
Commodity_33,1.0
Commodity_34,1.0
Commodity_35,1.0
Commodity_36,1.0
Commodity_37,11.0
Commodity_38,4.0
Commodity_39,6.0
Commodity_40,1.0
Commodity_41,1.0
Commodity_42,2.0
Commodity_43,1.0
Commodity_44,2.0
Commodity_45,2.0
Commodity_46,1.0
Commodity_47,1.0
Commodity_48,1.0
Commodity_49,2.0
Commodity_50,1.0
Commodity_51,7.0
Commodity_52,1.0
Commodity_53,1.0
Commodity_54,7.0
Commodity_55,1.0
Commodity_56,22.0
Commodity_57,1.0
Commodity_58,10.0
Commodity_59,10.0
Commodity_60,4.0
Commodity_61,1.0
Commodity_62,1.0
Commodity_63,1.0
Commodity_64,2.0
Commodity_65,1.0
Commodity_66,12.0
Commodity_67,1.0
Commodity_68,2.0
Commodity_69,5.0
Commodity_70,2.0
Commodity_71,1.0
Commodity_72,2.0
Commodity_73,3.0
Commodity_74,1.0
Commodity_75,3.0
Commodity_76,1.0
Commodity_77,1.0
Commodity_78,2.0
Commodity_79,1.0
Commodity_80,1.0
Commodity_81,2.0
Commodity_82,1.0
Commodity_83,2.0
Commodity_84,9.0
Commodity_85,1.0
Commodity_86,2.0
Commodity_87,3.0
Commodity_88,1.0
Commodity_89,1.0
Commodity_90,1.0
Commodity_91,1.0
Commodity_92,5.0
Commodity_93,2.0
Commodity_94,15.0
Commodity_95,1.0
Commodity_96,38.0
Commodity_97,21.0
Commodity_98,1.0
Commodity_99,2.0
Commodity_100,3.0
Commodity_101,8.0
Commodity_102,2.0
Commodity_103,1.0
Commodity_104,2.0
Commodity_105,2.0
Commodity_106,1.0
Commodity_107,1.0
Commodity_108,1.0
Commodity_109,1.0
Commodity_110,1.0
Commodity_111,9.0
Commodity_112,3.0
Commodity_113,6.0
Commodity_114,1.0
Commodity_115,3.0
Commodity_116,1.0
Commodity_117,2.0
Commodity_118,691.0
Commodity_119,16.0
Commodity_120,10.0
Commodity_121,2.0
Commodity_122,1.0
Commodity_123,7.0
Commodity_124,1.0
Commodity_125,3.0
Commodity_126,11.0
Commodity_127,3.0
Commodity_128,82.0
Commodity_129,8.0
Commodity_130,1.0
Commodity_131,9.0
Commodity_132,1.0
Commodity_133,1.0
Commodity_134,1.0
Commodity_135,3.0
Commodity_136,1.0
Commodity_137,1.0
Commodity_138,2.0
Commodity_139,1.0
Commodity_140,3.0
Commodity_141,1.0
Commodity_142,1.0
Commodity_143,1.0
Commodity_144,1.0
Commodity_145,7.0
Commodity_146,1.0
Commodity_147,1.0
Commodity_148,1.0
Commodity_149,2.0
Commodity_150,1.0
Commodity_151,4.0
Commodity_152,1.0
Commodity_153,1.0
Commodity_154,1.0
Commodity_155,4.0
Commodity_156,1.0
Commodity_157,1.0
Commodity_158,6.0
Commodity_159,1.0
Commodity_160,1.0
Commodity_161,2.0
Commodity_162,1.0
Commodity_163,1.0
Commodity_164,1.0
Commodity_165,1.0
Commodity_166,3.0
Commodity_167,6.0
Commodity_168,1.0
Commodity_169,2.0
Commodity_170,1.0
Commodity_171,1.0
Commodity_172,1.0
Commodity_173,10.0
Commodity_174,3.0
Commodity_175,3.0
Commodity_176,1.0
Commodity_177,1.0
Commodity_178,4.0
Commodity_179,23.0
Commodity_180,3.0
Commodity_181,1.0
Commodity_182,1.0
Commodity_183,4.0
Commodity_184,1.0
Commodity_185,1.0
Commodity_186,1.0
Commodity_187,3.0
Commodity_188,6.0
Commodity_189,2.0
Commodity_190,3.0
Commodity_191,6.0
Commodity_192,16.0
Commodity_193,1.0
Commodity_194,2.0
Commodity_195,1.0
Commodity_196,1.0
Commodity_197,4.0
Commodity_198,1.0
Commodity_199,1.0
Commodity_200,116.0
Commodity_201,3.0
Commodity_202,1.0
Commodity_203,7.0
Commodity_204,2.0
Commodity_205,2.0
Commodity_206,10.0
Commodity_207,1.0
Commodity_208,1.0
Commodity_209,1.0
Commodity_210,3.0
Commodity_211,1.0
Commodity_212,2.0
Commodity_213,1.0
Commodity_214,2.0
Commodity_215,1.0
Commodity_216,1.0
Commodity_217,2.0
